                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3839,                 5.0378,                 1.8081,                0.25688,                0.90323,                0.28146,                0.16244,                 1.2725,                 48.684,                 1.6136,                0.00016,                0.00016,                0.00016
                      2,                 1.5794,                 3.4081,                 1.7201,                0.00812,                0.87097,                0.01017,                0.00535,                 1.8901,                    inf,                 5.9174,             0.00033663,             0.00033663,             0.00033663
                      3,                  1.586,                 1.5671,                 1.7496,                0.00135,                0.09677,                0.00058,                0.00014,                  5.058,                    inf,                 111.93,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.5511,                 1.4109,                 1.6905,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.5897,                 1.3986,                 1.7033,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.6009,                 1.4023,                 1.7531,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.7175,                 1.4084,                 1.7225,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.6055,                 1.2525,                 1.6686,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.6234,                 1.1666,                 1.6336,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.5996,                 1.2206,                 1.6131,                0.00063,                0.09677,                0.00023,                  6e-05,                    nan,                    nan,                    nan,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.5969,                 1.1898,                 1.6332,                 0.0005,                0.03226,                0.00026,                 0.0001,                 5.7521,                 3361.5,                   1905,               0.001766,               0.001766,               0.001766
                     12,                 1.6475,                 1.2516,                  1.688,                 0.0005,                0.03226,                0.00026,                 0.0001,                 4.6734,                    inf,                 849.57,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5278,                 1.1502,                 1.5575,                0.00063,                0.12903,                0.00068,                0.00019,                 5.0429,                    inf,                  361.3,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5932,                 1.1922,                 1.5878,                0.00061,                0.03226,                0.00015,                  6e-05,                 5.2497,                    inf,                 127.15,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6311,                 1.1815,                 1.6844,                 0.0012,                0.06452,                0.00048,                  8e-05,                 5.1023,                 559.03,                 139.75,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.7042,                 1.1405,                   1.65,                0.11111,                0.09677,                0.03196,                0.00378,                 4.2906,                 33.689,                 17.608,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6093,                 1.1582,                 1.6532,                0.02552,                0.16129,                0.00826,                0.00179,                 3.9994,                 52.501,                 18.444,               0.001703,               0.001703,               0.001703
                     18,                 1.5396,                 1.0061,                 1.6173,                0.01734,                0.03226,                0.00121,                0.00012,                 5.4761,                 8.2065,                  34.31,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5553,                0.99827,                 1.5371,                0.01734,                0.03226,                0.00121,                0.00012,                 5.6051,                 7.6202,                 14.487,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5649,                 1.0142,                 1.6048,                0.00026,                0.03226,                0.00014,                  1e-05,                 5.4271,                 319.75,                 9.1528,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4979,                 1.0433,                 1.6094,                0.26029,                0.41935,                0.20028,                0.06861,                 2.0714,                 7.8688,                  2.303,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.4653,                 1.0131,                  1.513,                0.86895,                0.77419,                0.87674,                0.49375,                 1.4211,                 1.6817,                 1.7057,               0.001604,               0.001604,               0.001604
                     23,                 1.4735,                0.97527,                 1.5096,                0.43067,                0.45161,                0.30408,                0.12517,                 2.0489,                 3.1784,                 2.1783,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4757,                 1.0029,                  1.556,                0.47277,                0.54839,                0.49774,                0.25307,                 1.7947,                  1.904,                 1.9774,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5159,                 1.0185,                 1.5764,                0.86776,                0.54839,                0.78087,                0.39663,                 1.7125,                 1.8025,                 1.8263,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.3749,                0.90869,                 1.4758,                0.51503,                0.51613,                0.40926,                  0.118,                 2.7007,                 2.0264,                 2.5798,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4604,                0.99076,                 1.4771,                  0.542,                0.45161,                   0.45,                0.18585,                 2.5636,                 1.8111,                 2.3761,               0.001505,               0.001505,               0.001505
                     28,                 1.4371,                0.98367,                 1.4964,                0.85497,                0.87097,                0.89264,                0.57538,                 1.3649,                 1.3902,                 1.5947,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.4534,                0.93285,                 1.5178,                0.82972,                0.96774,                0.94857,                0.52286,                 1.6486,                 1.2292,                 1.8082,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4331,                0.87484,                 1.4896,                0.91545,                0.90323,                0.95687,                0.56655,                 1.4685,                 1.2645,                 1.7015,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.5035,                 1.0657,                 1.5752,                0.86413,                0.77419,                0.91813,                0.52358,                 1.5321,                 1.4792,                  1.767,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4434,                0.99259,                 1.5768,                0.98143,                0.80645,                0.94467,                 0.5411,                 1.4607,                  1.264,                 1.6329,               0.001406,               0.001406,               0.001406
                     33,                  1.462,                0.96907,                 1.5074,                0.93216,                0.88677,                0.95616,                0.56344,                 1.4982,                  1.033,                 1.6593,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3971,                 0.8787,                 1.4817,                      1,                0.89717,                0.95184,                0.53881,                 1.5846,                0.89244,                 1.7056,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5001,                0.94334,                 1.5605,                0.99377,                0.87097,                0.96166,                0.55233,                 1.5416,                0.83228,                 1.6366,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3782,                0.86567,                  1.437,                0.97226,                0.77419,                0.86609,                0.54623,                 1.3997,                  1.199,                 1.6002,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.3936,                0.87354,                 1.4895,                0.97269,                0.87097,                0.96469,                0.56193,                 1.4768,                0.68588,                 1.6315,               0.001307,               0.001307,               0.001307
                     38,                 1.5161,                 0.9598,                 1.5595,                0.96039,                0.93548,                0.97881,                 0.5936,                 1.3886,                0.69465,                 1.5297,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3974,                0.85989,                 1.4947,                0.93487,                0.92621,                0.97139,                0.58855,                 1.4296,                0.71424,                 1.5566,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3526,                0.83497,                 1.4365,                0.96299,                0.93548,                0.97526,                0.58764,                 1.4267,                0.80841,                  1.587,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4001,                0.86084,                 1.4818,                      1,                0.92277,                0.97794,                0.61102,                 1.3855,                0.73267,                 1.5337,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.3166,                0.80974,                 1.3961,                0.98664,                0.90323,                0.97776,                0.63164,                 1.3345,                0.73584,                 1.4742,               0.001208,               0.001208,               0.001208
                     43,                 1.3516,                0.84734,                 1.4427,                0.90693,                0.77419,                 0.8925,                0.53713,                 1.4848,                0.85161,                 1.5705,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3537,                  0.819,                  1.471,                0.95503,                0.96774,                0.99139,                0.60599,                 1.4161,                0.65196,                 1.5751,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3923,                0.86776,                 1.4802,                0.93534,                0.93336,                0.98061,                0.59902,                  1.398,                0.66032,                 1.5913,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3966,                0.91106,                 1.4609,                0.93144,                0.93548,                0.96639,                0.54404,                 1.4588,                0.75585,                 1.6443,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3395,                0.82255,                 1.4547,                0.92826,                0.93548,                0.96601,                0.57386,                 1.4281,                0.69925,                 1.6273,               0.001109,               0.001109,               0.001109
                     48,                 1.3418,                0.86573,                 1.4487,                0.95506,                0.93548,                0.97688,                 0.6233,                 1.4036,                0.63954,                 1.5526,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2451,                0.77243,                 1.4109,                0.93506,                0.92908,                0.98364,                0.57871,                 1.5288,                0.67483,                 1.6373,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4043,                0.85129,                 1.5001,                0.86666,                0.93548,                0.97035,                0.57088,                 1.5175,                0.79539,                 1.6206,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.286,                0.84986,                  1.446,                0.93039,                0.80645,                0.94334,                0.55026,                 1.4336,                0.78614,                 1.5742,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3692,                0.82152,                 1.4567,                0.94362,                0.87097,                0.96485,                0.58738,                 1.2799,                0.71475,                 1.4918,                0.00101,                0.00101,                0.00101
                     53,                 1.2987,                0.84767,                 1.4043,                0.93507,                0.92933,                0.95693,                0.55349,                 1.4376,                0.70055,                 1.5408,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3105,                 0.7909,                 1.4398,                0.94303,                0.90323,                0.97316,                0.59514,                  1.349,                0.59006,                 1.4967,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3345,                0.83902,                 1.4491,                0.99756,                0.90323,                0.98075,                0.60538,                 1.3436,                0.59277,                 1.4909,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3553,                0.81411,                 1.4708,                0.96435,                0.87097,                0.97048,                 0.5749,                 1.3939,                 0.6713,                 1.5658,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3039,                 0.7863,                 1.4526,                0.96541,                0.90044,                0.97954,                0.60377,                 1.3525,                0.67318,                 1.5394,               0.000911,               0.000911,               0.000911
                     58,                  1.309,                0.77702,                 1.4232,                 0.9921,                0.93548,                 0.9876,                0.61849,                 1.3214,                0.61355,                 1.4895,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3243,                0.79985,                 1.4304,                0.90254,                0.93548,                0.96901,                0.61327,                 1.2719,                0.63151,                 1.4478,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3025,                0.79452,                 1.3998,                0.85308,                0.93548,                0.96392,                0.58911,                 1.3325,                0.70939,                 1.4901,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3296,                0.81348,                   1.44,                 0.9416,                0.93548,                0.98796,                0.59778,                 1.3874,                0.66172,                 1.5135,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3009,                0.81882,                 1.4338,                0.96865,                0.99672,                0.99219,                0.62055,                 1.2983,                0.64851,                 1.4692,               0.000812,               0.000812,               0.000812
                     63,                 1.3585,                0.81911,                 1.4587,                      1,                  0.935,                0.99221,                0.58018,                 1.4188,                0.72711,                 1.5807,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2507,                0.78703,                 1.3884,                0.96731,                0.95486,                0.98917,                0.61652,                 1.3079,                0.64749,                 1.5155,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2887,                0.76518,                 1.3882,                0.92958,                0.90323,                0.94196,                0.59922,                 1.4178,                0.66538,                 1.5617,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.2426,                0.75313,                 1.3917,                0.87641,                0.93548,                0.93762,                0.56255,                 1.5426,                0.71268,                 1.6848,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2867,                 0.7209,                 1.3892,                0.90604,                0.93323,                0.94188,                0.59278,                 1.3283,                 0.6398,                 1.5267,               0.000713,               0.000713,               0.000713
                     68,                 1.2946,                0.70047,                 1.3979,                0.95872,                0.93548,                0.98684,                0.60901,                 1.3424,                0.59717,                  1.461,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2537,                0.71167,                 1.3265,                0.95875,                0.96774,                0.98945,                0.62996,                 1.2805,                0.57702,                 1.4608,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2303,                0.72333,                 1.3489,                 0.9649,                0.93548,                0.96504,                 0.6187,                 1.3459,                0.59816,                 1.5001,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2386,                0.72847,                 1.3686,                      1,                0.96424,                0.99014,                0.61269,                 1.3114,                0.57797,                  1.486,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2917,                0.76234,                 1.4672,                0.93522,                0.96774,                0.98279,                0.60599,                 1.3099,                0.57388,                  1.486,               0.000614,               0.000614,               0.000614
                     73,                 1.2034,                0.67475,                 1.3595,                      1,                0.96211,                0.98885,                0.63535,                 1.3058,                0.56919,                  1.495,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2164,                0.65068,                 1.3662,                 0.9677,                0.96643,                0.99042,                 0.6206,                 1.4078,                0.60385,                 1.5294,              0.0005744,              0.0005744,              0.0005744
                     75,                   1.16,                0.65312,                 1.3145,                0.93909,                0.99482,                0.99125,                0.61532,                 1.4264,                0.58353,                 1.5474,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.1918,                0.65045,                 1.3456,                0.93917,                0.99622,                0.99221,                0.61815,                 1.3121,                0.53934,                 1.4665,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2229,                0.70548,                 1.3593,                      1,                  0.955,                0.99235,                0.61859,                 1.3063,                0.53336,                 1.4561,               0.000515,               0.000515,               0.000515
                     78,                 1.2377,                0.67369,                 1.4057,                0.98611,                0.96774,                0.99318,                0.62894,                 1.3125,                0.53602,                 1.4532,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2348,                0.65906,                 1.3481,                      1,                0.93048,                0.99139,                0.63492,                 1.3003,                0.52822,                 1.4546,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2167,                0.71947,                 1.3287,                0.98372,                0.93548,                0.99139,                0.62026,                 1.3209,                0.53854,                 1.4945,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2233,                0.72007,                 1.4112,                 0.9687,                0.99837,                0.99312,                 0.6406,                 1.2856,                0.53799,                 1.4531,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2017,                0.70422,                 1.3096,                0.96863,                0.99605,                0.99312,                0.65581,                 1.2568,                0.54578,                 1.4201,               0.000416,               0.000416,               0.000416
                     83,                 1.1639,                0.65312,                 1.3152,                0.96863,                0.99607,                0.99312,                0.64564,                 1.2227,                0.53207,                 1.4126,              0.0003962,              0.0003962,              0.0003962
                     84,                  1.192,                 0.6585,                 1.3566,                      1,                0.93465,                0.98987,                0.64433,                 1.2413,                0.52892,                 1.4412,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.183,                0.64072,                  1.299,                0.93287,                0.96774,                0.98639,                0.64724,                 1.2522,                0.52611,                 1.4509,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1405,                0.65714,                 1.3227,                0.93537,                0.96774,                0.98639,                0.64692,                 1.2825,                 0.5371,                 1.4869,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1274,                0.61396,                 1.2906,                0.93516,                0.96774,                0.97625,                0.64032,                 1.3132,                0.53644,                  1.512,               0.000317,               0.000317,               0.000317
                     88,                 1.2257,                0.65785,                 1.3673,                0.93145,                0.96774,                0.98427,                0.65612,                 1.2862,                0.51161,                 1.4816,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1058,                0.65644,                   1.31,                      1,                0.92809,                 0.9677,                0.65247,                 1.2747,                0.52144,                 1.4501,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1386,                0.66156,                 1.3199,                0.99928,                0.93548,                0.96872,                0.63973,                 1.3073,                 0.5438,                  1.451,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.101,                0.62117,                 1.3821,                0.99499,                0.93548,                0.96705,                0.63482,                 1.3084,                0.54293,                 1.4508,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1195,                0.56703,                 1.3801,                      1,                0.93338,                0.96591,                0.64333,                  1.296,                0.55585,                 1.4685,               0.000218,               0.000218,               0.000218
                     93,                 1.0793,                0.53459,                 1.3854,                      1,                0.94343,                0.96658,                0.63771,                 1.3095,                0.53987,                 1.4882,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.0842,                0.52045,                 1.4297,                0.97912,                0.93548,                0.96861,                0.63636,                  1.303,                0.52253,                 1.4882,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0534,                0.54152,                 1.3673,                0.99619,                0.96774,                0.97031,                 0.6277,                 1.3172,                0.51964,                 1.4853,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0882,                0.51538,                 1.3844,                0.96437,                0.96774,                0.96805,                0.62656,                 1.3086,                 0.5245,                 1.4822,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0902,                0.50551,                 1.3859,                0.96271,                0.96774,                  0.968,                0.63171,                  1.284,                0.51953,                 1.4715,               0.000119,               0.000119,               0.000119
                     98,                 1.0346,                0.47933,                 1.3484,                0.96129,                0.96774,                0.96809,                0.63745,                 1.2751,                0.51438,                 1.4681,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0537,                0.49302,                 1.3406,                0.96053,                0.96774,                0.96818,                0.65146,                  1.274,                0.51614,                 1.4678,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0527,                 0.4896,                 1.3969,                0.95895,                0.96774,                0.96809,                0.64303,                 1.2747,                0.51491,                 1.4703,               5.96e-05,               5.96e-05,               5.96e-05
